"Data Source","World Development Indicators",

"Last Updated Date","2022-09-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Armenia","ARM","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9803860531.55248","8949561636.9895","5327344967.03613","4973702540.02406","5354227561.34467","5843688839.16853","6299716421.15014","6621177138.16537","7184486827.46663","7526162157.25132","8150774534.89384","9134510731.77184","10501422441.8107","12207893425.6244","13851841423.6304","16271994101.8439","18988258531.0297","22173115976.0994","24157669801.8107","20884445685.8498","21600412735.6691","23085520248.3701","27009096448.5442","28500152360.1441","29231468082.419","29166842740.5397","31429192104.4042","35676528915.4363","38428345021.3797","42088513415.3132","39443691148.1898","43424437526.1206",
"American Samoa","ASM","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","724220082.807398","765007773.010685","791506006.10086","853048521.552977","929436515.520714","907556623.802006","985210373.34686","1057036090.56434","1119505957.12058","1177374335.44101","1278740621.58239","1248082617.41869","1280557556.94095","1385180000.99635","1504392016.50602","1652012940.45374","1919405308.80158","2154909822.60591","2195924593.66686","1945623929.72819","1814624472.65424","1816047262.12083","1771798543.10742","1720170788.92087","1762288334.80494","1769549897.41954","1882863521.88954","1893259104.10693","2071927908.9808","2211532821.18821","1786243972.36428","1958531523.18315",
"Australia","AUS","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","296371478762.324","308043662757.573","318664389750.262","338491267934.472","358779336153.12","378130489660.551","403005180162.152","425381557676.043","453005215189.055","478757083927.676","504548948084.348","532689376829.179","565345793833.1","593030336171.961","632150539681.331","665959595377.554","711378945253.441","762287051079.707","796834909433.138","873780713946.532","866655535725.333","938351559046.28","973825980527.428","1061730067174.66","1100561174645.73","1101456818288.23","1143148737101.39","1190694343959.24","1253361153370.88","1312636660762.97","1369884973053.42","1436442088452.99",
"Austria","AUT","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","149426293193.353","159796148361.341","166859341278.435","171714389063.407","179594119848.037","188251944516.395","195424431040.796","202601126779.917","212781190836.65","220639956878.73","235347920936.075","238878600644.736","251984858807.042","261056984714.604","275998555936.944","288086851811.747","311415088416.137","327096105756.992","343812802543","341393192854.121","351341906220.687","373031463577.163","391635006784.26","406370494341.228","417059741085.658","430975998137.236","460282766423.271","476590426691.819","503556884412.526","515713331248.954","496544223813.718","523292952670.558",
"Azerbaijan","AZE","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37694530103.6164","38696484278.857","30633636929.6859","24115654422.4934","19778392232.0172","17810336856.036","18372211992.4865","19772991830.6122","21995097661.6114","23955634496.4708","27217678656.4585","30586137071.2623","33994826285.4696","38204531284.4344","42860372196.7017","56564627673.0606","78426917948.493","100683032684.431","113654290594.673","125016200872.444","132906490790.588","135803575412.212","148339507564.977","161864879226.656","166328757240.292","144145726475.687","140229738154.492","139152809949.428","144614343523.119","150881109878.634","146133499194.866","160729472760.502",
"Burundi","BDI","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3341667975.18752","3627299688.61041","3747433157.40476","3596877422.10398","3532983821.92221","3321387280.04229","3111624748.90187","3114954587.51486","3299640117.97027","3312343716.22962","3358361145.1884","3504620319.43367","3717503265.93583","3744481925.8038","4030853197.40071","4194668945.05498","4558197311.10758","4842982949.28516","5175835858.01468","5407617015.84978","5753030235.60656","6109378663.94635","6386185330.8931","7069149933.91295","7649427870.69595","8550074537.53225","8358351140.30498","8375481076.5592","8713633406.75831","9030260918.94714","9168995940.71524","9721452801.87434",
"Belgium","BEL","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","186170807521.397","195994875686.734","203529748884.845","206350004389.938","217557501355.002","227416383686.972","230946171106.604","241624078147.238","248636221287.111","260168701709.78","284826588632.107","296130423579.759","312900377877.018","320963391708.604","334133752698.897","347658412088.972","371912420547.909","390932258442.523","405729462246.522","407562315465.057","434081107185.036","451932718764.387","469720618339.766","487343797679.386","503619406808.679","520878052195.13","550677647305.861","573788797293.568","600322935463.797","623603330829.736","612655349801.141","682884736301.423",
"Benin","BEN","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6263872718.58833","6749352134.03458","7107339440.10572","7700436168.3018","8023775039.5168","8687249860.0122","9228850210.88418","9926367674.35394","10435702280.2009","11148038682.5953","12068417543.7712","12998438893.2101","13813951246.4709","14571665604.7338","15625634673.9068","16391714299.0402","17563887278.8898","19118406973.8386","20439187423.0816","21047276239.8425","21750521094.3437","22860459982.9645","24308499989.2082","26709146743.0221","29146860808.5474","30530995255.4114","32668486802.0226","34023063767.8647","37168927633.8578","40431322636.8591","42493487504.1107","47180359905.7268",
"Burkina Faso","BFA","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5192367141.73112","5854833811.43012","6002195549.48274","6357151655.81814","6578285936.44934","7100150653.3534","8026534869.02473","8680713154.73274","9419919590.96393","10259110711.9939","10689665669.0506","11653376975.816","12350171718.4476","13576554041.9331","14565345348.6472","16323283254.9017","17879168698.5039","19117304116.1197","20614029336.4487","21360646876.8753","23443220212.813","25515102554.621","26835475975.0516","28735314121.1823","29760893893.8537","31032905189.7743","35340335154.5367","39238401912.359","42829250834.6409","46075097668.785","47530529151.7522","52924624145.5729",
